I,S,P
2818,55501,7.122635455968789
2819,44510,5.712122378789048
2820,47517,6.0980210980210945
2900,49246,6.319909653242986
2901,57583,7.389825723159057
2902,61625,7.908549575216242
2903,50024,6.419753086419754
2904,47577,6.1057211057211065
2905,58891,7.557685891019224
2906,73870,9.479992813326149
2907,41633,5.342907009573676
2908,41688,5.349965349965349
2909,52399,6.724545057878388
2910,72073,9.249377582710915
2911,44488,5.7092990426323755
2913,53076,6.811426811426813
2914,51616,6.6240599573932935
2915,54094,6.942070275403607
2916,75466,9.684813018146349
2917,45984,5.901285901285903
2918,53942,6.922563589230256
2919,69604,8.9325222658556
2920,47614,6.1104694438027805
3000,53848,6.910500243833576
3001,42671,5.47611714278381
3002,51760,6.6425399758733095
3003,44126,5.662842329508996
3004,41023,5.264623597956931
3005,53681,6.889068555735223
3006,52801,6.776135109468443
3007,35561,4.563666230332898
3008,40840,5.241138574471909
3009,49254,6.3209363209363225
3010,55683,7.145992145992148
3011,52287,6.710171710171711
3012,60161,7.720669387336054
3013,50118,6.431816431816431
3014,50900,6.5321731988398675
3015,50042,6.422063088729758
3016,52811,6.777418444085112
3017,54844,7.038320371653705
3018,37388,4.7981314647981295
3019,38900,4.992171658838326
3020,57926,7.4338441005107665
